钉	〔钅丁¦dj〕
耵	〔横ᴰ丁¦dj〕
定	〔宀人¦ie〕
顶	〔丁贝¦jm〕
疔	〔疒丁¦mj〕
酊	〔西丁¦pj〕
町	〔田丁¦wj〕
仃	〔亻丁¦xj〕
萣	〔艹人¦ze〕
阽	〔阝口¦bo〕
电	〔电电¦ee〕
奠	〔丷大¦fx〕
踮	〔足口¦go〕
坫	〔土口¦go〕
癜	〔疒又¦ml〕
癫	〔疒贝¦mm〕
簟	〔竹十¦ns〕
巅	〔山贝¦pm〕
点	〔竖ᵖ灬¦pn〕
殿	〔尸又¦ql〕
佃	〔亻田¦xw〕
钓	〔钅捺ᴴ¦dh〕
铫	〔钅捺ᴴ¦dh〕
铞	〔钅巾¦dy〕
隳	〔阝捺ᴴ¦bh〕
铎	〔钅竖ᵖ¦dp〕
多	〔夕夕¦ff〕
跺	〔足木¦gw〕
垛	〔土木¦gw〕
剁	〔几刂¦ii〕
亸	〔亠十¦is〕
掇	〔扌又¦jl〕
剟	〔又刂¦li〕
夺	〔大寸¦xk〕
爹	〔八夕¦ff〕
泆	〔氵失¦ke〕
昳	〔日失¦ve〕
锻	〔钅又¦dl〕
断	〔米竖ᵖ¦lp〕
煅	〔火又¦tl〕
段	〔撇ᵁ又¦ul〕
椴	〔木又¦wl〕
鸫	〔东鸟¦ac〕
东	〔东八¦af〕
垌	〔土口¦go〕
胨	〔月八¦lf〕
懂	〔忄日¦ng〕
岽	〔山八¦pf〕
峒	〔山口¦po〕
硐	〔石口¦to〕
动	〔二力¦uu〕
独	〔犭虫¦bf〕
蠹	〔横ᴰ虫¦df〕
镀	〔钅又¦dl〕
都	〔土阝¦gb〕
堵	〔土日¦gv〕
妒	〔女户¦yq〕
兑	〔丷儿¦fk〕
对	〔又寸¦lk〕
怼	〔又心¦ln〕
趸	〔横ᴰ足¦dg〕
顿	〔横ᴰ贝¦dm〕
钝	〔钅折ᴿ¦dr〕
墩	〔土攵¦gj〕
礅	〔石攵¦tj〕
遁	〔撇ᵁ辶¦uq〕
陡	〔阝走¦bq〕
钭	〔钅竖ᵖ¦dp〕
窦	〔宀大¦ix〕
抖	〔扌竖ᵖ¦jp〕
兜	〔撇ᵁ儿¦uk〕
狄	〔犭火¦bt〕
敌	〔千攵¦sj〕
蒂	〔艹巾¦zy〕
担	〔扌横ᴰ¦jd〕
镦	〔钅攵¦dj〕
笃	〔竹马¦nz〕
递	〔丷辶¦fq〕
丁	〔丁丁¦jj〕
搭	〔扌口¦jo〕
鼎	〔目折ᴿ¦sr〕
吊	〔口巾¦oy〕
逗	〔横ᴰ辶¦dq〕
凳	〔折ᴿ几¦ri〕
嗒	〔口口¦oo〕
稻	〔撇ᵁ臼¦us〕
弹	〔折ᴿ十¦rs〕
叼	〔口横ᴰ¦od〕
掂	〔扌口¦jo〕
提	〔扌人¦je〕
咄	〔口山¦op〕
锭	〔钅人¦de〕
掸	〔扌十¦js〕
惇	〔忄子¦na〕
氮	〔气火¦st〕
滇	〔氵八¦kf〕
荻	〔艹火¦zt〕
恫	〔忄口¦no〕
单	〔丷十¦fs〕
殚	〔歹十¦fs〕
靛	〔龶人¦ae〕
琔	〔王人¦ae〕
啖	〔口火¦ot〕
髑	〔骨虫¦cf〕
哚	〔口木¦ow〕
惮	〔忄十¦ns〕
箪	〔竹十¦ns〕
沓	〔水日¦ov〕
啶	〔口人¦oe〕
堞	〔土木¦gw〕
蹀	〔足木¦gw〕
